order_id,item_id,quantity,price
O00001,M0197,2,7.93
O00001,M0223,1,14.2
O00001,M0196,3,26.56
O00001,M0326,3,6.03
O00002,M0172,3,35.65
O00002,M0115,3,12.41
O00002,M0144,1,9.22
O00002,M0105,2,37.77
O00003,M0231,1,12.99
O00003,M0243,2,25.0
O00004,M0198,1,22.9
O00004,M0366,2,9.97
O00004,M0217,1,18.02
O00004,M0038,3,18.6
O00005,M0087,3,14.36
O00005,M0323,3,6.77
O00005,M0344,2,24.8
O00006,M0208,3,20.87
O00006,M0033,1,26.51
O00006,M0037,3,29.27
O00007,M0130,3,35.6
O00007,M0167,3,7.95
O00007,M0029,1,17.18
O00007,M0102,1,32.81
O00008,M0204,2,29.45
O00008,M0376,1,30.09
O00008,M0092,2,7.08
O00009,M0086,2,15.24
O00009,M0223,2,14.2
O00010,M0200,1,23.77
O00011,M0098,2,18.74
O00012,M0273,1,36.41
O00012,M0253,1,24.73
O00013,M0327,2,19.93
O00013,M0121,1,6.69
O00014,M0318,2,11.92
O00015,M0306,1,20.83
O00016,M0005,1,34.72
O00017,M0163,1,25.64
O00017,M0107,2,16.46
O00017,M0091,3,32.5
O00018,M0177,1,38.41
O00019,M0039,3,9.83
O00019,M0168,2,26.03
O00020,M0335,2,8.07
O00020,M0073,3,35.18
O00021,M0181,1,39.22
O00021,M0174,1,11.6
O00022,M0260,3,5.22
O00022,M0076,1,12.35
O00023,M0139,1,5.04
O00023,M0059,3,10.89
O00023,M0017,1,18.61
O00024,M0298,2,6.41
O00025,M0043,3,40.0
O00025,M0369,2,23.97
O00025,M0255,3,21.24
O00026,M0212,1,29.78
O00026,M0332,3,13.6
O00027,M0078,2,35.14
O00027,M0398,1,38.2
O00027,M0329,3,14.62
O00027,M0298,2,6.41
O00028,M0287,1,9.76
O00028,M0388,2,32.71
O00029,M0344,3,24.8
O00029,M0297,3,29.66
O00029,M0188,3,7.36
O00029,M0390,2,29.75
O00030,M0318,1,11.92
O00031,M0122,3,26.92
O00031,M0277,2,22.69
O00032,M0181,3,39.22
O00032,M0209,2,6.93
O00033,M0190,3,7.12
O00033,M0185,1,24.12
O00033,M0394,1,33.51
O00034,M0238,3,36.99
O00035,M0224,3,26.96
O00036,M0232,2,5.09
O00036,M0131,1,14.59
O00036,M0399,3,34.78
O00037,M0026,2,38.81
O00037,M0326,2,6.03
O00037,M0017,1,18.61
O00037,M0316,1,14.06
